"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010001,"Wellpoint Cascade Complete Gold",12435WA001,,WAN001,WAS001,WAF502,New,EPO,Gold,No,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010001-01,"Standard Gold On Exchange Plan",,0.818108857,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$7,000 ","$7000 per person | $14000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$1,000 ","$1000 per person | $2000 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$1,400 ","$0 ","$60 ","$0 ","$1,800 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Complete Gold","$1,000 ","$900 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010001,"Wellpoint Cascade Complete Gold",12435WA001,,WAN001,WAS001,WAF502,New,EPO,Gold,No,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010001-02,"Zero Cost Sharing Plan Variation",,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Complete Gold","$0 ","$0 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010001,"Wellpoint Cascade Complete Gold",12435WA001,,WAN001,WAS001,WAF502,New,EPO,Gold,No,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010001-03,"Limited Cost Sharing Plan Variation",,0.818108857,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$7,000 ","$7000 per person | $14000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$1,000 ","$1000 per person | $2000 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$1,400 ","$0 ","$60 ","$0 ","$1,800 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Complete Gold","$1,000 ","$900 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010002,"Wellpoint Cascade Vital Gold",12435WA001,,WAN001,WAS001,WAF503,New,EPO,Gold,No,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010002-01,"Standard Gold On Exchange Plan",,0.780611265,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$8,800 ","$8800 per person | $17600 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$1,900 ","$1900 per person | $3800 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$1,800 ","$0 ","$60 ","$0 ","$2,100 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Vital Gold","$1,000 ","$800 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010002,"Wellpoint Cascade Vital Gold",12435WA001,,WAN001,WAS001,WAF503,New,EPO,Gold,No,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010002-02,"Zero Cost Sharing Plan Variation",,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Vital Gold","$0 ","$0 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010002,"Wellpoint Cascade Vital Gold",12435WA001,,WAN001,WAS001,WAF503,New,EPO,Gold,No,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010002-03,"Limited Cost Sharing Plan Variation",,0.780611265,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$8,800 ","$8800 per person | $17600 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$1,900 ","$1900 per person | $3800 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$1,800 ","$0 ","$60 ","$0 ","$2,100 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Vital Gold","$1,000 ","$800 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010003,"Wellpoint Cascade Silver",12435WA001,,WAN001,WAS001,WAF506,New,EPO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,2,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010003-01,"Standard Silver On Exchange Plan",71.84%,0.715965017,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,750 ","$9750 per person | $19500 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,500 ","$2500 per person | $5000 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,500 ","$1,500 ","$0 ","$60 ","$0 ","$2,100 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Silver","$1,000 ","$1,000 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010003,"Wellpoint Cascade Silver",12435WA001,,WAN001,WAS001,WAF506,New,EPO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010003-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Silver","$0 ","$0 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010003,"Wellpoint Cascade Silver",12435WA001,,WAN001,WAS001,WAF506,New,EPO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,2,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010003-03,"Limited Cost Sharing Plan Variation",71.84%,0.715965017,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,750 ","$9750 per person | $19500 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,500 ","$2500 per person | $5000 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,500 ","$1,500 ","$0 ","$60 ","$0 ","$2,100 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Silver","$1,000 ","$1,000 ","$0 ","$0 "
2026,WA,,12435,SERFF,1,1/13/2026,,Individual,No,,12435WA0010003,"Wellpoint Cascade Silver",12435WA001,,WAN001,WAS001,WAF506,New,EPO,Silver,Yes,Both,No,No,,,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,2,,1/1/2026,12/31/2026,Yes,"Urgent/Emergency Coverage Only",No,"Not Applicable",No,,,,,12435WA0010003-04,"73% AV Level Silver Plan",73.95%,0.737302232,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$7,950 ","$7950 per person | $15900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,500 ","$2500 per person | $5000 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,500 ","$1,500 ","$0 ","$60 ","$0 ","$2,100 ","$0 ","$20 ",99%,"Not Applicable",No,"Wellpoint Cascade Silver","$1,000 ","$1,000 ","$0 ","$0 "
